"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 20 14:56:01 MSK 2026","Fri Mar 20 14:56:10 MSK 2026","9477","","org.example.tests.ConstructorTabsTest","","org.example.tests.ConstructorTabsTest","bunsTabVisibilityTest","bunsTabVisibilityTest",""
"passed","Fri Mar 20 14:56:42 MSK 2026","Fri Mar 20 14:56:47 MSK 2026","5256","","org.example.tests.LoginTests","","org.example.tests.LoginTests","loginByClickingAccountButton","loginByClickingAccountButton",""
"passed","Fri Mar 20 14:56:10 MSK 2026","Fri Mar 20 14:56:15 MSK 2026","5173","","org.example.tests.ConstructorTabsTest","","org.example.tests.ConstructorTabsTest","fillingTabVisibilityTest","fillingTabVisibilityTest",""
"passed","Fri Mar 20 14:56:54 MSK 2026","Fri Mar 20 14:57:00 MSK 2026","5173","","org.example.tests.RegistrationTest","","org.example.tests.RegistrationTest","testNotSuccessfulRegistration","testNotSuccessfulRegistration",""
"passed","Fri Mar 20 14:56:15 MSK 2026","Fri Mar 20 14:56:20 MSK 2026","4331","","org.example.tests.ConstructorTabsTest","","org.example.tests.ConstructorTabsTest","sauceTabVisibilityTest","sauceTabVisibilityTest",""
"passed","Fri Mar 20 14:56:29 MSK 2026","Fri Mar 20 14:56:37 MSK 2026","7394","","org.example.tests.LoginTests","","org.example.tests.LoginTests","loginByClickingButtonInPasswordRecoveryForm","loginByClickingButtonInPasswordRecoveryForm",""
"passed","Fri Mar 20 14:56:37 MSK 2026","Fri Mar 20 14:56:42 MSK 2026","5481","","org.example.tests.LoginTests","","org.example.tests.LoginTests","loginByClickingLoginButton","loginByClickingLoginButton",""
"passed","Fri Mar 20 14:56:47 MSK 2026","Fri Mar 20 14:56:54 MSK 2026","6954","","org.example.tests.RegistrationTest","","org.example.tests.RegistrationTest","testSuccessfulRegistration","testSuccessfulRegistration",""
"passed","Fri Mar 20 14:56:20 MSK 2026","Fri Mar 20 14:56:29 MSK 2026","9594","","org.example.tests.LoginTests","","org.example.tests.LoginTests","loginByClickingButtonInRegistrationForm","loginByClickingButtonInRegistrationForm",""
